集計年,都道府県CD,都道府県名,産業大分類CD,産業大分類名,業種中分類CD,業種中分類名,企業単位_従業者数（人）
2009,01,北海道,A,農業，林業,01,農業,28646
2009,01,北海道,A,農業，林業,02,林業,5714
2009,01,北海道,B,漁業,03,漁業（水産養殖業を除く）,5520
2009,01,北海道,B,漁業,04,水産養殖業,765
2009,01,北海道,C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,2597
2009,01,北海道,D,建設業,06,総合工事業,103493
2009,01,北海道,D,建設業,07,職別工事業(設備工事業を除く),51759
2009,01,北海道,D,建設業,08,設備工事業,51039
2009,01,北海道,E,製造業,09,食料品製造業,74703
2009,01,北海道,E,製造業,10,飲料・たばこ・飼料製造業,5259
2009,01,北海道,E,製造業,11,繊維工業,3805
2009,01,北海道,E,製造業,12,木材・木製品製造業（家具を除く）,9750
2009,01,北海道,E,製造業,13,家具・装備品製造業,4810
2009,01,北海道,E,製造業,14,パルプ・紙・紙加工品製造業,3310
2009,01,北海道,E,製造業,15,印刷・同関連業,11072
2009,01,北海道,E,製造業,16,化学工業,2939
2009,01,北海道,E,製造業,17,石油製品・石炭製品製造業,179
2009,01,北海道,E,製造業,18,プラスチック製品製造業（別掲を除く）,3459
2009,01,北海道,E,製造業,19,ゴム製品製造業,611
2009,01,北海道,E,製造業,20,なめし革・同製品・毛皮製造業,368
2009,01,北海道,E,製造業,21,窯業・土石製品製造業,8742
2009,01,北海道,E,製造業,22,鉄鋼業,3934
2009,01,北海道,E,製造業,23,非鉄金属製造業,419
2009,01,北海道,E,製造業,24,金属製品製造業,11642
2009,01,北海道,E,製造業,25,はん用機械器具製造業,4117
2009,01,北海道,E,製造業,26,生産用機械器具製造業,5498
2009,01,北海道,E,製造業,27,業務用機械器具製造業,1207
2009,01,北海道,E,製造業,28,電子部品・デバイス・電子回路製造業,4118
2009,01,北海道,E,製造業,29,電気機械器具製造業,2873
2009,01,北海道,E,製造業,30,情報通信機械器具製造業,776
2009,01,北海道,E,製造業,31,輸送用機械器具製造業,8104
2009,01,北海道,E,製造業,32,その他の製造業,3495
2009,01,北海道,F,電気・ガス・熱供給・水道業,33,電気業,6300
2009,01,北海道,F,電気・ガス・熱供給・水道業,34,ガス業,1730
2009,01,北海道,F,電気・ガス・熱供給・水道業,35,熱供給業,241
2009,01,北海道,F,電気・ガス・熱供給・水道業,36,水道業,838
2009,01,北海道,G,情報通信業,37,通信業,6175
2009,01,北海道,G,情報通信業,38,放送業,1710
2009,01,北海道,G,情報通信業,39,情報サービス業,18181
2009,01,北海道,G,情報通信業,40,インターネット附随サービス業,1043
2009,01,北海道,G,情報通信業,41,映像・音声・文字情報制作業,7043
2009,01,北海道,H,運輸業，郵便業,42,鉄道業,8234
2009,01,北海道,H,運輸業，郵便業,43,道路旅客運送業,35765
2009,01,北海道,H,運輸業，郵便業,44,道路貨物運送業,63868
2009,01,北海道,H,運輸業，郵便業,45,水運業,546
2009,01,北海道,H,運輸業，郵便業,46,航空運輸業,918
2009,01,北海道,H,運輸業，郵便業,47,倉庫業,2448
2009,01,北海道,H,運輸業，郵便業,48,運輸に附帯するサービス業,9900
2009,01,北海道,H,運輸業，郵便業,49,郵便業（信書便事業を含む）,9
2009,01,北海道,I,卸売業，小売業,50,各種商品卸売業,50
2009,01,北海道,I,卸売業，小売業,51,繊維・衣服等卸売業,3089
2009,01,北海道,I,卸売業，小売業,52,飲食料品卸売業,34656
2009,01,北海道,I,卸売業，小売業,53,建築材料，鉱物・金属材料等卸売業,24278
2009,01,北海道,I,卸売業，小売業,54,機械器具卸売業,24669
2009,01,北海道,I,卸売業，小売業,55,その他の卸売業,19450
2009,01,北海道,I,卸売業，小売業,56,各種商品小売業,17148
2009,01,北海道,I,卸売業，小売業,57,織物・衣服・身の回り品小売業,14225
2009,01,北海道,I,卸売業，小売業,58,飲食料品小売業,114467
2009,01,北海道,I,卸売業，小売業,59,機械器具小売業,36446
2009,01,北海道,I,卸売業，小売業,60,その他の小売業,125833
2009,01,北海道,I,卸売業，小売業,61,無店舗小売業,2340
2009,01,北海道,J,金融業，保険業,62,銀行業,9637
2009,01,北海道,J,金融業，保険業,63,協同組織金融業,8496
2009,01,北海道,J,金融業，保険業,64,貸金業，クレジットカード業等非預金信用機関,2255
2009,01,北海道,J,金融業，保険業,65,金融商品取引業，商品先物取引業,485
2009,01,北海道,J,金融業，保険業,66,補助的金融業等,407
2009,01,北海道,J,金融業，保険業,67,保険業（保険媒介代理業，保険サービス業を含む）,8791
2009,01,北海道,K,不動産業，物品賃貸業,68,不動産取引業,8018
2009,01,北海道,K,不動産業，物品賃貸業,69,不動産賃貸業・管理業,35006
2009,01,北海道,K,不動産業，物品賃貸業,70,物品賃貸業,11224
2009,01,北海道,L,学術研究，専門・技術サービス業,71,学術・開発研究機関,731
2009,01,北海道,L,学術研究，専門・技術サービス業,72,専門サービス業（他に分類されないもの）,15894
2009,01,北海道,L,学術研究，専門・技術サービス業,73,広告業,3660
2009,01,北海道,L,学術研究，専門・技術サービス業,74,技術サービス業（他に分類されないもの）,25493
2009,01,北海道,M,宿泊業，飲食サービス業,75,宿泊業,34429
2009,01,北海道,M,宿泊業，飲食サービス業,76,飲食店,139912
2009,01,北海道,M,宿泊業，飲食サービス業,77,持ち帰り・配達飲食サービス業,17374
2009,01,北海道,N,生活関連サービス業，娯楽業,78,洗濯・理容・美容・浴場業,52010
2009,01,北海道,N,生活関連サービス業，娯楽業,79,その他の生活関連サービス業,11647
2009,01,北海道,N,生活関連サービス業，娯楽業,80,娯楽業,25869
2009,01,北海道,O,教育，学習支援業,81,学校教育,35852
2009,01,北海道,O,教育，学習支援業,82,その他の教育，学習支援業,17650
2009,01,北海道,P,医療，福祉,83,医療業,131470
2009,01,北海道,P,医療，福祉,84,保健衛生,1570
2009,01,北海道,P,医療，福祉,85,社会保険・社会福祉・介護事業,80872
2009,01,北海道,Q,複合サービス事業,86,郵便局,615
2009,01,北海道,Q,複合サービス事業,87,協同組合（他に分類されないもの）,21243
2009,01,北海道,R,サービス業（他に分類されないもの）,88,廃棄物処理業,10802
2009,01,北海道,R,サービス業（他に分類されないもの）,89,自動車整備業,14458
2009,01,北海道,R,サービス業（他に分類されないもの）,90,機械等修理業（別掲を除く）,6185
2009,01,北海道,R,サービス業（他に分類されないもの）,91,職業紹介・労働者派遣業,15845
2009,01,北海道,R,サービス業（他に分類されないもの）,92,その他の事業サービス業,88908
2009,01,北海道,R,サービス業（他に分類されないもの）,93,政治・経済・文化団体,12481
2009,01,北海道,R,サービス業（他に分類されないもの）,94,宗教,9920
2009,01,北海道,R,サービス業（他に分類されないもの）,95,その他のサービス業,491
2009,02,青森県,A,農業，林業,01,農業,7801
2009,02,青森県,A,農業，林業,02,林業,1542
2009,02,青森県,B,漁業,03,漁業（水産養殖業を除く）,1054
2009,02,青森県,B,漁業,04,水産養殖業,236
2009,02,青森県,C,鉱業，採石業，砂利採取業,05,鉱業，採石業，砂利採取業,541
2009,02,青森県,D,建設業,06,総合工事業,28839
2009,02,青森県,D,建設業,07,職別工事業(設備工事業を除く),12699
2009,02,青森県,D,建設業,08,設備工事業,12260
2009,02,青森県,E,製造業,09,食料品製造業,19313
2009,02,青森県,E,製造業,10,飲料・たばこ・飼料製造業,1088
2009,02,青森県,E,製造業,11,繊維工業,5250
2009,02,青森県,E,製造業,12,木材・木製品製造業（家具を除く）,1187
2009,02,青森県,E,製造業,13,家具・装備品製造業,871
2009,02,青森県,E,製造業,14,パルプ・紙・紙加工品製造業,989
2009,02,青森県,E,製造業,15,印刷・同関連業,2343
2009,02,青森県,E,製造業,16,化学工業,306
2009,02,青森県,E,製造業,17,石油製品・石炭製品製造業,112
2009,02,青森県,E,製造業,18,プラスチック製品製造業（別掲を除く）,653
2009,02,青森県,E,製造業,19,ゴム製品製造業,83
2009,02,青森県,E,製造業,20,なめし革・同製品・毛皮製造業,62
2009,02,青森県,E,製造業,21,窯業・土石製品製造業,2049
2009,02,青森県,E,製造業,22,鉄鋼業,959
2009,02,青森県,E,製造業,23,非鉄金属製造業,5427
2009,02,青森県,E,製造業,24,金属製品製造業,2023
2009,02,青森県,E,製造業,25,はん用機械器具製造業,468
2009,02,青森県,E,製造業,26,生産用機械器具製造業,1248
2009,02,青森県,E,製造業,27,業務用機械器具製造業,1730
2009,02,青森県,E,製造業,28,電子部品・デバイス・電子回路製造業,5935
2009,02,青森県,E,製造業,29,電気機械器具製造業,1213
2009,02,青森県,E,製造業,30,情報通信機械器具製造業,4250
2009,02,青森県,E,製造業,31,輸送用機械器具製造業,861
2009,02,青森県,E,製造業,32,その他の製造業,921
2009,02,青森県,F,電気・ガス・熱供給・水道業,33,電気業,28
2009,02,青森県,F,電気・ガス・熱供給・水道業,34,ガス業,274
2009,02,青森県,F,電気・ガス・熱供給・水道業,35,熱供給業,0
2009,02,青森県,F,電気・ガス・熱供給・水道業,36,水道業,62
2009,02,青森県,G,情報通信業,37,通信業,1268
2009,02,青森県,G,情報通信業,38,放送業,629
2009,02,青森県,G,情報通信業,39,情報サービス業,1636
2009,02,青森県,G,情報通信業,40,インターネット附随サービス業,59
2009,02,青森県,G,情報通信業,41,映像・音声・文字情報制作業,1263
2009,02,青森県,H,運輸業，郵便業,42,鉄道業,333
2009,02,青森県,H,運輸業，郵便業,43,道路旅客運送業,8203
2009,02,青森県,H,運輸業，郵便業,44,道路貨物運送業,12719
2009,02,青森県,H,運輸業，郵便業,45,水運業,177
2009,02,青森県,H,運輸業，郵便業,46,航空運輸業,0
2009,02,青森県,H,運輸業，郵便業,47,倉庫業,1027
2009,02,青森県,H,運輸業，郵便業,48,運輸に附帯するサービス業,1089
2009,02,青森県,H,運輸業，郵便業,49,郵便業（信書便事業を含む）,0
2009,02,青森県,I,卸売業，小売業,50,各種商品卸売業,65
2009,02,青森県,I,卸売業，小売業,51,繊維・衣服等卸売業,490
2009,02,青森県,I,卸売業，小売業,52,飲食料品卸売業,11984
